Date,Close,Open,High,Low,Change,Change Classification,Value,Value_Classification,BTC_Closing,BTC_Volume
2023-01-01,16618.4,16537.5,16621.9,16499.7,0.0049,Stable,26.0,Fear,16625.080078125,9244361700
2023-01-02,16674.3,16618.4,16766.9,16551.0,0.0034,Stable,27.0,Fear,16688.470703125,12097775227
2023-01-03,16674.2,16673.1,16773.2,16607.2,-0.0,Stable,26.0,Fear,16679.857421875,13903079207
2023-01-04,16852.1,16674.2,16976.5,16656.5,0.0107,Up,29.0,Fear,16863.23828125,18421743322
2023-01-05,16829.8,16852.2,16877.9,16772.3,-0.0013,Stable,29.0,Fear,16836.736328125,13692758566
2023-01-06,16950.9,16829.8,17012.3,16707.6,0.0072,Up,26.0,Fear,16951.96875,14413662913
2023-01-07,16943.6,16950.9,16979.6,16909.7,-0.0004,Stable,25.0,Extreme Fear,16955.078125,7714767174
2023-01-08,17119.0,16943.6,17119.0,16913.8,0.0104,Up,25.0,Extreme Fear,17091.14453125,9768827914
2023-01-09,17180.1,17119.0,17390.8,17107.1,0.0036,Stable,25.0,Extreme Fear,17196.5546875,18624736866
2023-01-10,17439.1,17180.1,17491.0,17151.7,0.0151,Up,26.0,Fear,17446.29296875,15808338949
2023-01-11,17942.3,17440.5,17989.8,17323.9,0.0289,Up,26.0,Fear,17934.896484375,18372283782
2023-01-12,18851.3,17941.0,19055.3,17915.5,0.0507,Up,30.0,Fear,18869.587890625,34971338710
2023-01-13,19927.0,18850.8,19981.6,18723.8,0.0571,Up,31.0,Fear,19909.57421875,29225029694
2023-01-14,20958.2,19926.9,21185.6,19898.6,0.0516999999999999,Up,46.0,Fear,20976.298828125,38967784639
2023-01-15,20879.8,20956.0,21032.2,20585.7,-0.0037,Stable,52.0,Neutral,20880.798828125,19298407543
2023-01-16,21184.2,20880.1,21416.8,20698.9,0.0146,Up,45.0,Fear,21169.6328125,26792494050
2023-01-17,21137.1,21184.4,21506.4,20926.2,-0.0022,Stable,51.0,Neutral,21161.51953125,24999983362
2023-01-18,20670.6,21137.1,21584.1,20448.3,-0.0220999999999999,Down,52.0,Neutral,20688.78125,30005625418
2023-01-19,21081.2,20670.6,21169.4,20669.7,0.0199,Up,45.0,Fear,21086.79296875,21152848261
2023-01-20,22677.2,21074.9,22718.5,20879.3,0.0757,Up,51.0,Neutral,22676.552734375,28799154319
2023-01-21,22775.7,22677.5,23304.5,22461.1,0.0043,Stable,53.0,Neutral,22777.625,32442278429
2023-01-22,22707.8,22775.7,23068.7,22323.0,-0.003,Stable,53.0,Neutral,22720.416015625,24746386230
2023-01-23,22915.5,22709.0,23161.8,22527.9,0.0091,Up,50.0,Neutral,22934.431640625,26518700512
2023-01-24,22632.5,22916.3,23156.1,22517.1,-0.0123,Down,52.0,Neutral,22636.46875,26405069715
2023-01-25,23055.1,22632.5,23779.0,22366.3,0.0187,Up,51.0,Neutral,23117.859375,30685366709
2023-01-26,23016.0,23055.2,23259.5,22869.0,-0.0017,Stable,54.0,Neutral,23032.77734375,26357839322
2023-01-27,23074.6,23016.0,23480.3,22602.9,0.0025,Stable,55.0,Greed,23078.728515625,25383335641
2023-01-28,23027.9,23074.6,23182.3,22889.8,-0.002,Stable,52.0,Neutral,23031.08984375,14712928379
2023-01-29,23753.1,23023.5,23952.9,22973.3,0.0315,Up,55.0,Greed,23774.56640625,27423687259
2023-01-30,22832.2,23746.0,23794.0,22560.0,-0.0388,Down,61.0,Greed,22840.138671875,27205595568
2023-01-31,23125.1,22832.2,23262.9,22724.9,0.0128,Up,51.0,Neutral,23139.283203125,22837828665
2023-02-01,23725.6,23124.7,23784.5,22809.6,0.026,Up,56.0,Greed,23723.76953125,26683255504
2023-02-02,23427.6,23726.2,24207.2,23398.1,-0.0126,Down,60.0,Greed,23471.87109375,32066936882
2023-02-03,23431.2,23429.1,23694.1,23233.8,0.0002,Stable,60.0,Greed,23449.322265625,27083066007
2023-02-04,23323.8,23431.2,23571.8,23269.8,-0.0046,Stable,58.0,Greed,23331.84765625,15639298538
2023-02-05,22936.0,23326.9,23423.4,22766.5,-0.0166,Down,58.0,Greed,22955.666015625,19564262605
2023-02-06,22761.8,22936.0,23130.6,22633.7,-0.0076,Down,56.0,Greed,22760.109375,23825006542
2023-02-07,23251.7,22761.8,23338.8,22748.2,0.0215,Up,54.0,Neutral,23264.291015625,27187964471
2023-02-08,22964.6,23251.7,23425.1,22691.7,-0.0123,Down,58.0,Greed,22939.3984375,25371367758
2023-02-09,21792.5,22964.6,23003.6,21744.6,-0.051,Down,55.0,Greed,21819.0390625,32572572185
2023-02-10,21635.0,21792.5,21933.6,21491.7,-0.0072,Down,48.0,Neutral,21651.18359375,27078406594
2023-02-11,21859.8,21627.4,21902.9,21605.3,0.0104,Up,49.0,Neutral,21870.875,16356226232
2023-02-12,21786.8,21859.9,22080.7,21653.1,-0.0033,Stable,50.0,Neutral,21788.203125,17821046406
2023-02-13,21772.6,21782.7,21887.5,21418.7,-0.0007,Stable,48.0,Neutral,21808.1015625,23918742607
2023-02-14,22198.5,21776.9,22308.6,21556.2,0.0196,Up,50.0,Neutral,22220.8046875,26792596581
2023-02-15,24327.9,22198.5,24330.9,22050.8,0.0959,Up,53.0,Neutral,24307.841796875,32483312909
2023-02-16,23539.6,24328.1,25233.8,23525.9,-0.0324,Down,62.0,Greed,23623.474609375,39316664596
2023-02-17,24573.5,23538.2,24984.7,23373.0,0.0438999999999999,Up,61.0,Greed,24565.6015625,41358451255
2023-02-18,24631.4,24573.5,24838.9,24457.0,0.0024,Stable,60.0,Greed,24641.27734375,19625427158
2023-02-19,24302.9,24631.3,25175.2,24273.7,-0.0133,Down,60.0,Greed,24327.642578125,25555105670
2023-02-20,24839.5,24302.8,25085.4,23868.6,0.0220999999999999,Up,58.0,Greed,24829.1484375,28987376573
2023-02-21,24450.7,24839.5,25236.8,24160.8,-0.0157,Down,60.0,Greed,24436.353515625,31252098714
2023-02-22,24186.6,24450.7,24474.3,23593.4,-0.0108,Down,59.0,Greed,24188.84375,30199996781
2023-02-23,23936.3,24186.6,24590.4,23637.9,-0.0103,Down,56.0,Greed,23947.4921875,30476264066
2023-02-24,23191.5,23936.4,24123.4,22970.3,-0.0311,Down,53.0,Neutral,23198.126953125,26811744928
2023-02-25,23166.1,23191.3,23215.3,22777.4,-0.0011,Stable,52.0,Neutral,23175.375,16100721565
2023-02-26,23558.7,23166.1,23671.8,23066.0,0.0169,Up,51.0,Neutral,23561.212890625,16644534842
2023-02-27,23494.1,23558.7,23876.2,23166.8,-0.0027,Stable,50.0,Neutral,23522.87109375,22660763494
2023-02-28,23130.5,23494.0,23595.0,23033.8,-0.0155,Down,53.0,Neutral,23147.353515625,20535363434
2023-03-01,23642.2,23130.6,23914.1,23025.3,0.0220999999999999,Up,50.0,Neutral,23646.55078125,24662841200
2023-03-02,23465.4,23642.2,23780.5,23208.7,-0.0075,Down,51.0,Neutral,23475.466796875,20386398516
2023-03-03,22354.4,23465.6,23473.4,22051.9,-0.0473,Down,50.0,Neutral,22362.6796875,26062404610
2023-03-04,22347.1,22354.7,22403.7,22167.4,-0.0003,Stable,50.0,Neutral,22353.349609375,11166012913
2023-03-05,22428.3,22347.1,22636.7,22213.5,0.0036,Stable,47.0,Neutral,22435.513671875,13317001733
2023-03-06,22410.0,22428.2,22595.4,22320.1,-0.0008,Stable,48.0,Neutral,22429.7578125,17353192895
2023-03-07,22197.8,22410.1,22535.1,21968.6,-0.0095,Down,49.0,Neutral,22219.76953125,22765452204
2023-03-08,21710.8,22197.8,22274.3,21661.3,-0.0219,Down,50.0,Neutral,21718.080078125,22536575684
2023-03-09,20361.8,21710.8,21826.5,20079.6,-0.0621,Down,44.0,Fear,20363.021484375,30364664171
2023-03-10,20156.7,20362.0,20362.6,19591.8,-0.0101,Down,34.0,Fear,20187.244140625,39578257695
2023-03-11,20467.5,20156.5,20669.5,19796.7,0.0154,Up,33.0,Fear,20632.41015625,30180288176
2023-03-12,21994.8,20465.0,22028.6,20294.2,0.0746,Up,33.0,Fear,22163.94921875,29279035521
2023-03-13,24114.4,21994.8,24406.2,21859.6,0.0964,Up,49.0,Neutral,24197.533203125,49466362688
2023-03-14,24699.7,24121.5,26365.9,23994.6,0.0243,Up,56.0,Greed,24746.07421875,54622230164
2023-03-15,24282.7,24699.6,25108.9,23932.4,-0.0169,Down,50.0,Neutral,24375.9609375,43655701450
2023-03-16,25004.1,24283.2,25139.0,24147.9,0.0297,Up,52.0,Neutral,25052.7890625,33866061747
2023-03-17,27391.8,25004.4,27742.2,24900.1,0.0955,Up,51.0,Neutral,27423.9296875,50730261335
2023-03-18,26914.5,27391.9,27659.1,26688.7,-0.0174,Down,64.0,Greed,26965.87890625,35723036817
2023-03-19,27958.7,26914.5,28347.3,26844.6,0.0388,Up,63.0,Greed,28038.67578125,37769448859
2023-03-20,27720.5,27958.9,28457.8,27157.0,-0.0085,Down,66.0,Greed,27767.236328125,44774027664
2023-03-21,28114.0,27719.8,28437.8,27350.6,0.0141999999999999,Up,68.0,Greed,28175.81640625,36102192830
2023-03-22,27261.7,28114.2,28760.3,26668.7,-0.0302999999999999,Down,62.0,Greed,27307.4375,33382021890
2023-03-23,28310.7,27262.8,28734.1,27144.6,0.0385,Up,57.0,Greed,28333.97265625,24220433689
2023-03-24,27462.2,28306.9,28374.5,27026.5,-0.03,Down,61.0,Greed,27493.28515625,25980310960
2023-03-25,27475.6,27462.2,27761.9,27176.7,0.0005,Stable,64.0,Greed,27494.70703125,13383005987
2023-03-26,27973.5,27474.9,28153.7,27429.1,0.0181,Up,64.0,Greed,27994.330078125,13878363192
2023-03-27,27129.8,27974.8,28023.3,26611.5,-0.0302,Down,64.0,Greed,27139.888671875,18188895178
2023-03-28,27262.2,27127.8,27465.0,26665.6,0.0049,Stable,59.0,Greed,27268.130859375,17783600385
2023-03-29,28350.4,27262.9,28627.4,27249.8,0.0399,Up,57.0,Greed,28348.44140625,20684945906
2023-03-30,28029.5,28350.3,29160.4,27716.7,-0.0113,Down,60.0,Greed,28033.5625,22435349951
2023-03-31,28473.7,28029.3,28646.3,27587.5,0.0158,Up,63.0,Greed,28478.484375,19001327598
